filename,volume_rate(%),duration(s),memory(KB)
br03_062.json,81.17,0.002,143
br03_063.json,79.66,0.001,149
br03_064.json,73.89,0.001,160
br03_065.json,81.90,0.003,164
br03_066.json,80.99,0.001,131
br03_067.json,78.32,0.004,184
br03_068.json,84.47,0.002,146
br03_069.json,81.36,0.003,179
br03_070.json,78.89,0.001,138
br03_071.json,82.26,0.002,158
br03_072.json,82.18,0.002,163
br03_073.json,79.52,0.001,136
br03_074.json,77.82,0.001,142
br03_075.json,81.12,0.002,164
br03_076.json,83.11,0.002,167
br03_077.json,82.59,0.006,206
br03_078.json,81.59,0.002,174
br03_079.json,83.42,0.005,201
br03_080.json,77.88,0.001,142
br03_081.json,79.53,0.001,119
br03_082.json,83.85,0.003,187
br03_083.json,80.68,0.002,164
br03_084.json,77.84,0.001,133
br03_085.json,86.92,0.002,168
br03_086.json,79.38,0.003,174
br03_087.json,87.15,0.002,151
br03_088.json,73.21,0.003,182
br03_089.json,74.61,0.001,126
br03_090.json,80.64,0.001,122
br03_091.json,88.10,0.004,194
br03_092.json,82.07,0.001,131
br03_093.json,78.84,0.001,122
br03_094.json,84.32,0.003,174
br03_095.json,88.23,0.003,190
br03_096.json,83.41,0.005,203
br03_097.json,81.73,0.004,182
br03_098.json,75.36,0.002,150
br03_099.json,85.02,0.001,140
br03_100.json,86.61,0.002,162
br04_001.json,70.31,0.001,139
br04_002.json,84.27,0.001,151
br04_003.json,83.39,0.002,163
br04_004.json,79.95,0.003,186
br04_005.json,83.36,0.001,159
br04_006.json,82.64,0.002,162
br04_007.json,83.25,0.002,165
br04_008.json,78.39,0.001,140
br04_009.json,79.42,0.003,173
br04_010.json,82.82,0.002,162
br04_011.json,79.42,0.001,153
br04_012.json,82.81,0.001,145
br04_013.json,84.15,0.003,186
br04_014.json,84.84,0.001,139
br04_015.json,82.02,0.001,136
br04_016.json,80.46,0.003,165
br04_017.json,81.56,0.001,129
br04_018.json,78.07,0.001,118
br04_019.json,79.87,0.002,166
br04_020.json,82.40,0.002,166
br04_021.json,75.89,0.001,144
br04_022.json,84.05,0.001,143
br04_023.json,81.42,0.001,134
br04_024.json,82.56,0.003,164
br04_025.json,74.78,0.002,162
br04_026.json,72.09,0.002,178
br04_027.json,84.06,0.001,148
br04_028.json,84.33,0.004,191
br04_029.json,83.98,0.002,154
br04_030.json,87.49,0.003,174
br04_031.json,78.85,0.003,170
br04_032.json,82.40,0.003,177
br04_033.json,86.39,0.002,161
br04_034.json,79.07,0.002,164
br04_035.json,82.65,0.003,174
br04_036.json,85.01,0.002,161
br04_037.json,86.81,0.002,164
br04_038.json,76.16,0.001,146
br04_039.json,86.49,0.009,225
br04_040.json,76.43,0.001,137
br04_041.json,84.40,0.001,144
br04_042.json,82.76,0.002,150
br04_043.json,82.59,0.001,128
br04_044.json,78.03,0.001,164
br04_045.json,80.52,0.003,179
br04_046.json,81.61,0.001,134
br04_047.json,76.56,0.003,165
br04_048.json,82.52,0.001,141
br04_049.json,77.58,0.001,139
br04_050.json,84.01,0.004,185
br04_051.json,78.00,0.003,197
br04_052.json,81.90,0.002,169
br04_053.json,81.72,0.001,136
br04_054.json,84.46,0.003,188
br04_055.json,75.68,0.002,169
br04_056.json,84.56,0.009,230
br04_057.json,85.09,0.001,132
br04_058.json,82.34,0.001,139
br04_059.json,80.92,0.006,207
br04_060.json,77.99,0.002,152
br04_061.json,83.46,0.001,150
br04_062.json,84.08,0.002,153
br04_063.json,84.00,0.001,136
br04_064.json,80.54,0.001,148
br04_065.json,85.14,0.003,177
br04_066.json,85.36,0.001,139
br04_067.json,79.11,0.003,187
br04_068.json,82.12,0.001,138
br04_069.json,79.73,0.003,178
br04_070.json,77.26,0.001,147
br04_071.json,78.43,0.002,165
br04_072.json,85.08,0.002,159
br04_073.json,78.99,0.001,147
br04_074.json,81.48,0.001,129
br04_075.json,82.03,0.002,172
br04_076.json,83.82,0.002,147
br04_077.json,83.79,0.004,193
br04_078.json,82.27,0.002,183
br04_079.json,85.35,0.007,219
br04_080.json,77.88,0.002,161
br04_081.json,79.02,0.001,138
br04_082.json,82.16,0.002,175
br04_083.json,80.99,0.002,155
br04_084.json,85.06,0.001,152
br04_085.json,87.74,0.001,151
br04_086.json,83.92,0.003,175
br04_087.json,83.32,0.001,141
br04_088.json,75.90,0.004,192
br04_089.json,79.35,0.001,131
br04_090.json,80.95,0.001,131
br04_091.json,87.95,0.003,163
br04_092.json,86.49,0.001,130
br04_093.json,78.86,0.001,120
br04_094.json,86.57,0.002,168
br04_095.json,79.44,0.003,194
br04_096.json,85.79,0.002,172
br04_097.json,84.11,0.003,168
br04_098.json,81.47,0.002,147
br04_099.json,85.36,0.002,162
br04_100.json,88.25,0.003,169
br05_001.json,78.37,0.001,136
br05_002.json,85.09,0.002,167
br05_003.json,75.75,0.002,164
br05_004.json,82.66,0.002,170
br05_005.json,86.59,0.001,161
br05_006.json,83.44,0.003,169
br05_007.json,80.02,0.002,163
br05_008.json,74.28,0.001,136
br05_009.json,81.38,0.002,165
br05_010.json,82.65,0.002,164
br05_011.json,83.75,0.002,171
br05_012.json,77.48,0.001,144
br05_013.json,88.70,0.005,208
br05_014.json,86.70,0.002,153
br05_015.json,80.54,0.001,141
br05_016.json,78.52,0.001,150
br05_017.json,83.03,0.001,143
br05_018.json,81.93,0.001,128
br05_019.json,84.75,0.003,170
br05_020.json,82.53,0.002,167
br05_021.json,85.25,0.002,156
br05_022.json,82.94,0.001,148
br05_023.json,87.08,0.002,170
br05_024.json,81.05,0.001,145
br05_025.json,75.03,0.002,170
br05_026.json,79.13,0.003,183
br05_027.json,85.91,0.002,151
br05_028.json,80.87,0.004,196
br05_029.json,82.20,0.002,151
br05_030.json,85.41,0.003,165
br05_031.json,72.15,0.002,173
br05_032.json,81.84,0.004,184
br05_033.json,82.90,0.002,170
br05_034.json,85.48,0.001,147
br05_035.json,85.69,0.002,170
br05_036.json,86.56,0.002,154
br05_037.json,83.32,0.002,152
br05_038.json,79.37,0.001,150
br05_039.json,81.61,0.006,207
br05_040.json,79.19,0.001,141
br05_041.json,83.65,0.002,164
br05_042.json,83.07,0.001,146
br05_043.json,83.32,0.001,146
br05_044.json,72.37,0.001,165
br05_045.json,79.64,0.006,190
br05_046.json,83.27,0.001,136
br05_047.json,74.94,0.002,172
br05_048.json,83.56,0.001,145
br05_049.json,80.50,0.001,140
br05_050.json,79.87,0.004,190
br05_051.json,85.92,0.006,206
br05_052.json,75.23,0.001,168
br05_053.json,82.17,0.001,152
br05_054.json,83.56,0.003,198
br05_055.json,80.34,0.002,166
br05_056.json,83.54,0.007,221
br05_057.json,85.24,0.001,140
br05_058.json,84.70,0.001,147
br05_059.json,85.54,0.003,178
br05_060.json,81.70,0.002,156
br05_061.json,83.35,0.001,142
br05_062.json,83.32,0.002,163
br05_063.json,79.03,0.001,141
br05_064.json,79.51,0.001,147
br05_065.json,83.50,0.003,182
br05_066.json,86.82,0.001,143
br05_067.json,79.02,0.002,169
br05_068.json,82.62,0.001,140
br05_069.json,80.33,0.002,180
br05_070.json,77.94,0.001,143
br05_071.json,83.01,0.002,170
br05_072.json,83.38,0.002,166
br05_073.json,78.94,0.001,156
br05_074.json,79.32,0.001,138
br05_075.json,78.91,0.001,148
br05_076.json,82.03,0.001,146
br05_077.json,83.06,0.004,190
br05_078.json,83.24,0.003,184
br05_079.json,85.91,0.005,202
br05_080.json,73.59,0.008,170
br05_081.json,78.73,0.001,138
br05_082.json,80.56,0.002,165
br05_083.json,82.29,0.008,156
br05_084.json,83.41,0.004,167
br05_085.json,88.09,0.004,155
br05_086.json,81.86,0.004,155
br05_087.json,83.87,0.002,146
br05_088.json,76.56,0.007,189
br05_089.json,80.51,0.003,133
br05_090.json,80.29,0.001,136
br05_091.json,84.84,0.003,168
br05_092.json,86.87,0.004,148
br05_093.json,79.10,0.002,127
br05_094.json,80.15,0.004,162
br05_095.json,79.59,0.008,199
br05_096.json,83.85,0.007,178
br05_097.json,84.73,0.005,166
br05_098.json,77.24,0.006,164
br05_099.json,85.39,0.004,165
br05_100.json,85.65,0.005,165
br06_001.json,83.57,0.002,164
br06_002.json,85.07,0.004,178
br06_003.json,78.29,0.004,170
br06_004.json,82.68,0.004,174
br06_005.json,77.96,0.002,174
br06_006.json,79.53,0.002,171
br06_007.json,78.37,0.001,156
br06_008.json,80.87,0.001,143
br06_009.json,81.23,0.002,157
br06_010.json,79.02,0.003,174
br06_011.json,88.02,0.002,166
br06_012.json,79.84,0.001,155
br06_013.json,79.13,0.006,214
br06_014.json,80.47,0.002,174
br06_015.json,80.78,0.001,138
br06_016.json,82.46,0.002,155
br06_017.json,84.13,0.002,154
br06_018.json,79.61,0.001,132
br06_019.json,84.14,0.002,166
br06_020.json,81.68,0.002,171
br06_021.json,80.15,0.001,164
br06_022.json,83.70,0.002,166
br06_023.json,82.06,0.001,151
br06_024.json,83.31,0.001,143
br06_025.json,74.09,0.003,170
br06_026.json,79.52,0.003,188
br06_027.json,82.37,0.002,159
br06_028.json,83.10,0.002,180
br06_029.json,79.59,0.002,170
br06_030.json,81.50,0.002,168
br06_031.json,75.89,0.003,184
br06_032.json,81.48,0.002,173
br06_033.json,84.26,0.002,173
br06_034.json,78.68,0.001,149
br06_035.json,81.97,0.003,180
br06_036.json,84.04,0.001,150
br06_037.json,84.58,0.001,145
br06_038.json,82.83,0.002,166
br06_039.json,73.21,0.004,201
br06_040.json,80.13,0.001,142
br06_041.json,77.59,0.002,165
br06_042.json,76.88,0.002,157
br06_043.json,82.33,0.001,146
br06_044.json,82.82,0.002,171
br06_045.json,78.90,0.003,183
br06_046.json,83.31,0.001,148
br06_047.json,76.15,0.003,176
br06_048.json,82.71,0.002,147
br06_049.json,81.73,0.001,146
br06_050.json,84.82,0.002,175
br06_051.json,80.27,0.004,196
br06_052.json,78.22,0.002,172
br06_053.json,81.90,0.001,159
br06_054.json,80.93,0.003,188
br06_055.json,77.68,0.003,174
br06_056.json,83.12,0.003,180
br06_057.json,83.71,0.001,148
br06_058.json,85.54,0.001,151
br06_059.json,83.93,0.002,158
br06_060.json,80.87,0.002,166
br06_061.json,79.18,0.001,147
br06_062.json,78.52,0.002,156
br06_063.json,80.39,0.001,150
br06_064.json,78.40,0.001,157
br06_065.json,80.12,0.003,183
br06_066.json,78.96,0.002,152
br06_067.json,85.14,0.003,178
br06_068.json,83.14,0.001,143
br06_069.json,81.56,0.003,190
br06_070.json,75.62,0.001,144
br06_071.json,82.70,0.002,170
br06_072.json,81.03,0.002,167
br06_073.json,81.61,0.001,150
br06_074.json,75.86,0.001,140
br06_075.json,81.60,0.001,156
br06_076.json,82.13,0.002,155
br06_077.json,74.26,0.004,184
br06_078.json,82.23,0.003,182
br06_079.json,76.81,0.003,190
br06_080.json,76.67,0.002,183
br06_081.json,78.72,0.001,136
br06_082.json,81.71,0.002,171
br06_083.json,81.70,0.002,165
br06_084.json,85.33,0.002,169
br06_085.json,83.79,0.002,159
br06_086.json,81.52,0.002,170
